record_id,redcap_repeat_instrument,redcap_repeat_instance,age,sex,gender,native_language,language_specification,employment_status,comments,your_demographics_complete,consent,online_screening_consent_form_complete
20,,,,,,,,,,,,
20,your_demographics,1,25,2,2,1,,3,No,2,,
29,,,,,,,,,,,,
29,your_demographics,1,23,1,1,0,3,3,no please ,2,,
35,,,,,,,,,,,0,2
35,your_demographics,1,25,2,2,1,,4,,2,,
27,,,,,,,,,,,0,2
27,your_demographics,1,24,2,2,0,2,3,,2,,
34,,,,,,,,,,,0,2
34,your_demographics,1,22,1,1,1,,3,,2,,
30,,,,,,,,,,,0,2
30,your_demographics,1,18,2,2,1,,3,,2,,
28,,,,,,,,,,,0,2
28,your_demographics,1,22,2,2,1,,5,I would love to work the company ,2,,
25,,,,,,,,,,,0,2
25,your_demographics,1,23,1,1,1,,3,No please ,0,,
52,,,,,,,,,,,0,2
52,your_demographics,1,23,1,1,1,,3,,2,,
47,,,,,,,,,,,0,2
47,your_demographics,1,24,1,1,0,3,3,,2,,
57,,,,,,,,,,,0,2
57,your_demographics,1,25,2,2,1,,2,No,2,,
59,,,,,,,,,,,0,2
59,your_demographics,1,25,2,2,1,,3,,2,,
44,,,,,,,,,,,0,2
44,your_demographics,1,21,1,1,0,2,3,No please ,2,,
31,,,,,,,,,,,0,2
31,your_demographics,1,21,1,1,0,2,3,no,2,,
54,,,,,,,,,,,0,2
54,your_demographics,1,24,1,1,1,,3,I look forward to this wonderful experience,2,,
